uwi_formatted,casing_size,casing_code
100/09-06-002-11W4/02,177.8,SURFACE
100/09-06-002-11W4/02,114.3,PRODUCTION
100/09-15-002-12W4/02,219.1,SURFACE
100/09-15-002-12W4/02,139.7,PRODUCTION
100/08-01-007-09W4/00,219.1,SURFACE
100/08-01-007-09W4/00,114.3,INTERMEDIATE
100/08-02-013-16W4/00,219.1,SURFACE
100/08-02-013-16W4/00,139.7,PRODUCTION
100/06-30-019-02W4/00,177.8,SURFACE
100/06-30-019-02W4/00,114.3,PRODUCTION
100/06-30-019-02W4/00,73.0,LINER
100/08-32-019-19W4/00,219.1,SURFACE
100/08-32-019-19W4/00,139.7,PRODUCTION
100/12-14-020-02W4/00,177.8,SURFACE
100/12-14-020-02W4/00,114.3,PRODUCTION
100/14-26-020-03W4/00,177.8,SURFACE
100/14-26-020-03W4/00,114.3,PRODUCTION
100/08-21-022-04W4/00,177.8,SURFACE
100/08-21-022-04W4/00,114.3,PRODUCTION
100/02-08-038-17W4/00,219.1,SURFACE
100/02-08-038-17W4/00,139.7,PRODUCTION
100/13-14-038-21W4/00,339.7,SURFACE
100/13-14-038-21W4/00,177.8,PRODUCTION
102/15-28-052-02W4/00,244.5,SURFACE
102/15-28-052-02W4/00,177.8,PRODUCTION
103/06-29-057-03W4/00,244.5,SURFACE
103/06-29-057-03W4/00,177.8,PRODUCTION
100/07-29-057-03W4/00,244.5,SURFACE
100/07-29-057-03W4/00,177.8,PRODUCTION
100/08-29-057-03W4/00,244.5,SURFACE
100/08-29-057-03W4/00,177.8,PRODUCTION
100/08-21-062-23W5/00,219.1,SURFACE
100/08-21-062-23W5/00,139.7,PRODUCTION
