Licence,Phase II Estimated Volume (m3),Actual Volume (m3),Volume for Model (m3),Comments
0106626,-,9000,9000,Imperial
0132241,-,1000,1000,Imperial
0099519,-,1650,1650,Imperial
0084383,-,1200,1200,Imperial
0123368,-,0,0,Imperial
0165230,-,25,25,Imperial
0002958,-,0,0,Imperial
0005196,-,0,0,Imperial
0114217,-,0,0,Imperial
0138045,-,0,0,Imperial
0144648,-,0,0,Imperial
0281354,-,0,0,Imperial
0094766,-,1386.666,1386.666,Kiwetinohk
0100392,-,2215,2215,Kiwetinohk
0079130,-,600,600,Kiwetinohk
0000684,50,-,50,AspenLeaf
0032592,6750,-,6750,AspenLeaf
0004564,-,832,832,AspenLeaf
0002892,65000,-,65000,AspenLeaf
0464599,100,-,100,AspenLeaf
B0001961,-,220,220,AspenLeaf
0001948,910,-,910,AspenLeaf
B0002603,3560,-,3560,AspenLeaf
B0002191,2850,-,2850,AspenLeaf
0003890,600,-,600,AspenLeaf
0000724,550,-,550,AspenLeaf
11381,-,70,70,AspenLeaf
0002903,4800,-,4800,AspenLeaf
B0002424,2400,-,2400,AspenLeaf
B0001989,1660,-,1660,AspenLeaf
0001393,3050,-,3050,AspenLeaf
0006473,250,-,250,AspenLeaf
0216310,4700,-,4700,AspenLeaf
0473315,50,-,50,AspenLeaf
0328143,1050,-,1050,AspenLeaf
0034753,2075,-,2075,AspenLeaf
B0002103,450,-,450,AspenLeaf
B0002373,-,61,61,AspenLeaf
0191559,8050,-,8050,AspenLeaf
0217831,1000,-,1000,AspenLeaf
0213891,-,758,758,AspenLeaf
B0002120,550,-,550,AspenLeaf
0007097,1300,-,1300,AspenLeaf
0219305,200,-,200,AspenLeaf
0005848,90,-,90,AspenLeaf
0006618,390,-,390,AspenLeaf
0341120,2975,-,2975,AspenLeaf
B0002035,-,70,70,AspenLeaf
0099491,790,-,790,AspenLeaf
0215938,300,-,300,AspenLeaf
B0002681,1000,-,1000,AspenLeaf
B0002202,2525,-,2525,AspenLeaf
0006491,100,-,100,AspenLeaf
0217829,1600,-,1600,AspenLeaf
B0002185,550,-,550,AspenLeaf
0216541,4800,-,4800,AspenLeaf
10440,-,77,77,AspenLeaf
0000442,1650,-,1650,AspenLeaf
0002647,-,3907,3907,AspenLeaf
0006778,765,-,765,AspenLeaf
0002638,188,-,188,AspenLeaf
0337773,150,-,150,AspenLeaf
B0002797,950,-,950,AspenLeaf
B0001962,750,-,750,AspenLeaf
0002932,500,-,500,AspenLeaf
B0002047,2900,-,2900,AspenLeaf
0005616,1750,-,1750,AspenLeaf
0004024,-,41,41,AspenLeaf
0002796,-,1015,1015,AspenLeaf
0003012,350,-,350,AspenLeaf
0002843,-,216,216,AspenLeaf
0330529,940,-,940,AspenLeaf
0002595,1125,-,1125,AspenLeaf
F12113,-,923,923,AspenLeaf
0004319,675,-,675,AspenLeaf
0000126,13790,-,13790,AspenLeaf
0214845,150,-,150,AspenLeaf
B0001843,200,-,200,AspenLeaf
0002716,40800,-,40800,AspenLeaf
B0002662,-,750,750,AspenLeaf
0060729,3803,-,3803,AspenLeaf
B0002088,18060,-,18060,AspenLeaf
0001949,-,711,711,AspenLeaf
0003553,535,-,535,AspenLeaf
0003132,300,-,300,AspenLeaf
B0002337,1813,-,1813,AspenLeaf
0001056,450,-,450,AspenLeaf
0113007,50,-,50,AspenLeaf
0001113,4243,-,4243,AspenLeaf
0002972,50,-,50,AspenLeaf
0149290,350,-,350,AspenLeaf
B0001622,4475,-,4475,AspenLeaf
0002151,300,-,300,AspenLeaf
0002770,840,-,840,AspenLeaf
0001359,-,39650,39650,AspenLeaf
0001906,75,-,75,AspenLeaf
0214140,4100,-,4100,AspenLeaf
0000680,13050,-,13050,AspenLeaf
0214615,2400,-,2400,AspenLeaf
B0002052,335,-,335,AspenLeaf
0200665,-,51,51,AspenLeaf
B0001918,2800,-,2800,AspenLeaf
B0002263,200,-,200,AspenLeaf
10398,-,119,119,AspenLeaf
0006716,500,-,500,AspenLeaf
0124248,750,-,750,AspenLeaf
0002893,210,-,210,AspenLeaf
0467340,24200,-,24200,AspenLeaf
0002817,675,-,675,AspenLeaf
0186812,425,-,425,AspenLeaf
0217482,3300,-,3300,AspenLeaf
0041209,1825,-,1825,AspenLeaf
0208718,900,-,900,AspenLeaf
