UWI,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cement Amount,Cement Type,Cement Unit
100/16-15-017-01W5/02,NEW POOL WILDCAT,Vertical,TURNER VALLEY FM,,HIGH RIVER,,20001109,3009,0,20001216,NABORS DRILLING LIMITED,,,,Abandoned,246.97,877.8,,,,,,,,,YES,280,AB1,Calgary/Edmonton,,,,20200210,,,20001210,1120.2,,,,,,,,,,,,,,,,,0244073,6,,,,,,,58,CLASS G NEAT,Tonnes
100/16-15-017-01W5/02,NEW POOL WILDCAT,Vertical,TURNER VALLEY FM,,HIGH RIVER,,20001109,3009,0,20001216,NABORS DRILLING LIMITED,,,,Abandoned,246.97,877.8,,,,,,,,,YES,280,AB1,Calgary/Edmonton,,,,20200210,,,20001210,1120.2,,,,,,,,,,,,,,,,,0244073,6,,,,,,,55,GPSL/GPCEM/THX,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,10,CLASS G NEAT,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,11,LIGHT WEIGHT,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,8,CLASS G NEAT,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,18,CLASS G NEAT,Tonnes
100/09-32-025-20W4/00,DEVELOPMENT,Vertical,MEDICINE HAT SD,HUSSAR COMMINGLED MFP9501,HUSSAR,,20071023,927,0,20071113,TECHNICOIL CORPORATION,5,,20230501,Flowing Gas,579.2,381,PRIMARY,,895,890,,,3325.0586,EDMONTON K,YES,140,AB3,Calgary/Edmonton,0,2.5159242,0,,0,0.4,20071113,956.2,104,,1.26,0.35,,0.04,17.93,0.06,,0,0,,256,4,9138,37,0380554,1,0,,546.1,19285.34,,0,3.8,CLASS G NEAT,Tonnes
100/09-32-025-20W4/00,DEVELOPMENT,Vertical,MEDICINE HAT SD,HUSSAR COMMINGLED MFP9501,HUSSAR,,20071023,927,0,20071113,TECHNICOIL CORPORATION,5,,20230501,Flowing Gas,579.2,381,PRIMARY,,895,890,,,3325.0586,EDMONTON K,YES,140,AB3,Calgary/Edmonton,0,2.5159242,0,,0,0.4,20071113,956.2,104,,1.26,0.35,,0.04,17.93,0.06,,0,0,,256,4,9138,37,0380554,1,0,,546.1,19285.34,,0,15,LIGHT WEIGHT,Tonnes
100/01-05-032-03W5/00,DEVELOPMENT,Horizontal,CARDIUM FM,HARMATTAN EAST CARDIUM C,HARMATTAN EAST,,20141010,3725,2071.85,20141018,NABORS DRILLING LIMITED,1290,,20221001,Pumping Crude Oil,267.09,847.5,PRIMARY,,3725,2435.4,,,79508.984,CARDIUM C,YES,150,AB2,Calgary/Edmonton,0,0,45153.293,,7178.8,0,20141016,1109.5,,,,,,,,,,0,0,,14741,3,15654,61,0468877,,0,,5642.5,199263,,0,25,TH CEM/CEM FNDU,Cubic metres
100/01-05-032-03W5/00,DEVELOPMENT,Horizontal,CARDIUM FM,HARMATTAN EAST CARDIUM C,HARMATTAN EAST,,20141010,3725,2071.85,20141018,NABORS DRILLING LIMITED,1290,,20221001,Pumping Crude Oil,267.09,847.5,PRIMARY,,3725,2435.4,,,79508.984,CARDIUM C,YES,150,AB2,Calgary/Edmonton,0,0,45153.293,,7178.8,0,20141016,1109.5,,,,,,,,,,0,0,,14741,3,15654,61,0468877,,0,,5642.5,199263,,0,38,LIGHT WEIGHT,Cubic metres
