Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
LEDUC-WOODBEND,DEVELOPMENT,Deviated,LEDUC FM,LEDUC-WOODBEND D-3 A,,19501013,1651.4,1651.25,100/14-34-049-26W4/00,,ENSIGN DRILLING INC.,21,,19940401,Abandoned Crude Oil,366.29,368.6,WATER FLOOD,Waterflood,1651.4,1630.7,1641,LEDUC FM,649299.06,D-3 A,,BWL,AB5,Calgary/Edmonton,0,891581.94,561630.44,19960418,89292.1,141750.2,19501112,730.9,51.75,73.96,22.63,10.95,3.63,145.51,82.88,5.52,,0,0,,,8,,,0002116,2,0,,14398.5,508478.22,,0,17731,7591,20924,21259,21799,17611,39410,14813,13333,10062,24875,140575,3193
SIBBALD,NEW FIELD WILDCAT,Vertical,,SIBBALD VIKING A,,19501030,1092.1,0,100/15-05-028-02W4/00,,,8,,19910601,Abandoned Gas,531.86,209.1,PRIMARY,,751.6,743.7,1031.7,ARCS MBR,1736252.9,VIKING A,,BWL,AB3,Medicine Hat,0,87780.6,0,19940827,0,13956,19501205,737.9,1773.53,,1.28,74.31,,16.01,305.78,12.81,,0,0,,,,,,0002197,8,0,,285158.2,10070267,,0,1798,54,1833,1886,2582,127,2709,1866,1779,57,1923,1296,35
PROVOST,NEW FIELD WILDCAT,Vertical,,,,19510101,1132.3,0,100/03-20-038-14W4/00,,,,,,Abandoned,423.56,402.4,PRIMARY,,,,1129.6,WABAMUN GRP,,,,BWL,AB5,Medicine Hat,,,,19950430,,,19510123,823.3,,,,,,,,,,,,,,,,,0002482,4,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
CAMPBELL-NAMAO,NEW FIELD WILDCAT,Vertical,,CAMPBELL-NAMAO BLAIRMORE E,,19510618,1123.2,0,100/12-36-054-25W4/00,,,4,,19930201,Abandoned Crude Oil,212.65,476.2,PRIMARY,,1110.6,1107,1102.5,BASAL QUARTZ SD,174712.86,BLAIRMORE E,,BWL,AB5,Calgary/Edmonton,0,143570.6,68135.63,20041103,10832.7,22825.9,19510628,685.2,5.39,10.9,17.92,1.22,6.14,22.01,11.83,6.35,,0,0,,503,4,7944,46,0003025,5,0,,17504,618147.94,,0,2717,362,2875,3028,3512,617,4129,2804,2513,401,3205,5925,158
CAMPBELL-NAMAO,DEVELOPMENT,Deviated,LEDUC FM,CAMPBELL-NAMAO BLAIRMORE E,DISPOSAL,19520126,1116.5,1116.38,100/11-36-054-25W4/00,,,6,19940201,19661101,Abandoned Water Disposal,215.06,452.4,PRIMARY,II,1103.4,1097,1078.1,BASAL QUARTZ SD,181574.38,BLAIRMORE E,,BWL,AB5,Calgary/Edmonton,0,29688.535,160703.4,19941117,25549.8,4720.1,19520210,664.8,,,,440.21,2.96,24.82,0,78.86,,0,740868.44,0,503,4,7944,46,0004067,2,0,0,3427.8,121051.62,,4659922.5,2717,362,2875,3028,3512,617,4129,2804,2513,401,3205,5925,158
JOARCAM,DEVELOPMENT,Vertical,,JOARCAM VIKING,,19520127,1011.6,0,100/15-33-048-21W4/00,,,4,,19880601,Abandoned Crude Oil,549.59,217.3,PRIMARY,Waterflood,997.9,993.6,994.6,VIKING SANDSTONE,373671.25,VIKING,YES,BWL,AB5,Calgary/Edmonton,0,114017.29,280951.38,19911112,44667.7,18127.3,19520204,763.8,45.99,22.66,0.59,1.59,2.23,38.86,30.59,2.5,,0,0,,,2,4151,37,0004073,5,0,,15228.1,537775.25,,0,3715,832,4921,3911,5655,1618,7273,4305,4089,875,5180,44480,1206
CAMPBELL-NAMAO,DEVELOPMENT,Vertical,,CAMPBELL-NAMAO BLAIRMORE E,,19520529,1103.4,0,100/14-36-054-25W4/00,,,25,,19880501,Abandoned Crude Oil,233.52,420.6,PRIMARY,,1088.1,1063,1058.9,BASAL QUARTZ SD,735667.56,BLAIRMORE E,,BWL,AB5,Calgary/Edmonton,0,45434.45,31437.104,20000910,4998.1,7223.5,19520615,652,2783.7,1.19,15.65,4.76,0.78,1.16,481.14,1.6,,0,0,,503,4,7944,46,0004715,5,0,,115661.2,4084536.8,,0,2717,362,2875,3028,3512,617,4129,2804,2513,401,3205,5925,158
HAIRY HILL,DEVELOPMENT,Vertical,,HAIRY HILL COMMINGLED MFP9503,,19520531,588.3,0,100/11-13-055-14W4/00,,,2,,19951001,Abandoned Gas,417,188.9,PRIMARY,,467.6,466,507.2,BLAIRMORE GRP,277354.7,VIKING N,,BWL,AB5,Lloydminster,0,676.15466,0,20020921,0,107.5,19520618,605.9,1097.75,,0.15,48.67,,0.57,189.27,8.39,,0,0,,,,,,0004726,4,0,,45552.1,1608657.2,,0,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
BRUCE,NEW FIELD WILDCAT,Vertical,,BRUCE COMMINGLED POOL 021,,19520607,1348.1,0,100/10-29-048-16W4/03,,,7,,19880501,Abandoned Zone Gas,364.4,339.7,PRIMARY,,931.5,924.4,1269.5,COOKING LAKE FM,65931.266,UPPER MANNVILLE C2C,YES,BWL,AB5,Calgary/Edmonton,0,9349.175,0,20021027,0,1486.4,19520702,701,779.16,,26.13,27.18,,10,134.34,4.69,,0,0,,,,,,0004752,9,0,,10828.4,382401.34,,0,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
BRUCE,NEW FIELD WILDCAT,Vertical,,BRUCE COMMINGLED POOL 021,,19520607,1348.1,0,100/10-29-048-16W4/02,,,10,,19880501,Abandoned Zone Gas,364.4,339.7,PRIMARY,,910.1,900.4,1269.5,COOKING LAKE FM,104476.01,UPPER MANNVILLE C2C,YES,BWL,AB5,Calgary/Edmonton,0,13984.766,0,20021027,0,2223.4,19520702,701,1064.49,,0.09,40.8,,15.03,183.53,7.03,,0,0,,,,,,0004752,9,0,,17158.9,605960.8,,0,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
