Licence,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Substance Released 1,Volume Released 1,Volume Recovered 1
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,MEDICINE HAT SAWTOOTH D,MEDICINE HAT,,19830224,961,0,100/11-36-008-08W4/00,,BLUE-BIRD DRILLING CO LTD,1,,19920901,Abandoned & Re-Entered Gas,479.09,345.7,PRIMARY,,946,945,948,LIVINGSTONE FM,49734.01,SAWTOOTH D,,140,AB3,Medicine Hat,0,34868.195,0,20121219,0,5543.6,19830301,821,263.46,,20.9,24.37,,8.14,45.42,4.2,,0,0,,,,,,1,0,,8168.2,288457.25,,0,Salt/Produced Water,1,
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,,MEDICINE HAT,,20081118,961,0,100/11-36-008-08W4/02,20081119,,,,,Abandoned,479.09,345.7,PRIMARY,,,,,,,,,140,AB3,Medicine Hat,,,,20121219,,,20081119,821,,,,,,,,,,,,,,,,,1,,,,,,,Salt/Produced Water,1,
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,MEDICINE HAT SAWTOOTH D,MEDICINE HAT,,19830224,961,0,100/11-36-008-08W4/00,,BLUE-BIRD DRILLING CO LTD,1,,19920901,Abandoned & Re-Entered Gas,479.09,345.7,PRIMARY,,946,945,948,LIVINGSTONE FM,49734.01,SAWTOOTH D,,140,AB3,Medicine Hat,0,34868.195,0,20121219,0,5543.6,19830301,821,263.46,,20.9,24.37,,8.14,45.42,4.2,,0,0,,,,,,1,0,,8168.2,288457.25,,0,Salt/Produced Water,1,
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,,MEDICINE HAT,,20081118,961,0,100/11-36-008-08W4/02,20081119,,,,,Abandoned,479.09,345.7,PRIMARY,,,,,,,,,140,AB3,Medicine Hat,,,,20121219,,,20081119,821,,,,,,,,,,,,,,,,,1,,,,,,,Salt/Produced Water,1,
0158352,DEVELOPMENT,Vertical,SAWTOOTH FM,BOW ISLAND SAWTOOTH B,BOW ISLAND,,19930603,950,0,102/16-34-009-13W4/00,19930608,ARROWSTAR DRILLING CORPORATION,2,,20110201,Abandoned Crude Oil,498.4,313.3,PRIMARY,,918.5,917,,,161870.12,SAWTOOTH B,,BWL,AB3,Medicine Hat,0,2132030,158745.39,20160222,25238.5,338965.7,19930606,807.1,2.58,100.49,16.83,2.11,6.28,412.65,100.93,6.64,,0,0,,30,3,9713,34,1,0,,513.2,18123.486,,0,Crude Oil,0.1,0.1
0455213,DEEPER-POOLTEST,Horizontal,WABAMUN GRP,,SILVER,,20130306,4510,2781.04,100/16-36-017-28W4/00,20130423,BEAVER DRILLING LTD.,,,,Drilled And Cased,325.2,718.7,,,,,2730.03,WABAMUN GRP,,,YES,570,AB2,Calgary/Edmonton,,,,,,,20130413,1038.7,,,,,,,,,,,,,,,,,,,,,,,,Frac Sand,0.1,
0455213,OUTPOST,Horizontal,WABAMUN GRP,SILVER WABAMUN A,SILVER,,20140107,4260.3,2778.06,102/14-36-017-28W4/02,20140130,TRINIDAD DRILLING LTD.,1177,,20200901,Abandoned Zone Crude Oil,325.2,720.2,PRIMARY,,4056.6,2879.8,,,2395.6306,WABAMUN A,,570,AB2,Calgary/Edmonton,0,835.91583,619.5464,,98.5,132.9,20140123,1038.7,62.33,10.92,3171.15,105.52,6.73,13.93,21.67,24.92,,0,0,,32,6,26470,71,73,0,,291.7,10301.288,,0,Frac Sand,0.1,
0038935,NEW POOL WILDCAT,Vertical,,COUNTESS UPPER MANNVILLE M24M,COUNTESS,OBSERVATION,19701025,1176.5,0,100/04-10-020-17W4/00,,,12,,19980301,Observation,544.69,232.5,WATER FLOOD,Waterflood,1132.5,1121,1159.8,PEKISKO FM,690879.94,UPPER MANNVILLE M24M,,BWL,AB3,Calgary/Edmonton,0,4838088,621901.25,,98874.4,769194.5,19701029,773.6,73.19,99.17,4.93,36.77,55.56,1698.67,111.79,61.9,,0,0,,,2,,,7,0,,11328.9,400076.3,,0,Crude Oil,20,18
0038935,NEW POOL WILDCAT,Vertical,,COUNTESS UPPER MANNVILLE M24M,COUNTESS,OBSERVATION,19701025,1176.5,0,100/04-10-020-17W4/00,,,12,,19980301,Observation,544.69,232.5,WATER FLOOD,Waterflood,1132.5,1121,1159.8,PEKISKO FM,690879.94,UPPER MANNVILLE M24M,,BWL,AB3,Calgary/Edmonton,0,4838088,621901.25,,98874.4,769194.5,19701029,773.6,73.19,99.17,4.93,36.77,55.56,1698.67,111.79,61.9,,0,0,,,2,,,7,0,,11328.9,400076.3,,0,Emulsifiers,0.1,
0080641,DEVELOPMENT,Vertical,,ATLEE-BUFFALO UPPER MANNVILLE O,ATLEE-BUFFALO,,19800201,971,0,100/04-19-021-05W4/03,,,2,,19891001,Abandoned Zone Gas,461.6,271.5,PRIMARY,,902.5,900.5,950,BANFF FM,7920.2275,UPPER MANNVILLE O,,BWL,AB3,Medicine Hat,0,0,0,20180515,0,0,19800215,729.1,68.14,,,10.9,,,11.75,1.88,,0,0,,,,,,6,0,,1300.8,45937.32,,0,Drilling Mud  (Water Based),20,3
