Licence Number,UWI,Client,Phase 1 ESA Vendor,PH 1 Year,Phase 1 ESA Result,Phase 1 ESA Well Centre,Phase 1 ESA Drilling Waste Disposal,Phase 1 ESA Flare Pit,Phase 1 ESA Aboveground Infrastructure,Phase 1 ESA Underground Storage Tank,Phase 1 ESA Spill,Phase 1 ESA Other APEC,Phase 2 ESA Vendor,Phase 2 ESA Year,Phase 2 ESA Result,Phase 2 ESA Well Centre,Phase 2 ESA Drilling Waste Disposal,Phase 2 ESA Flare Pit,Phase 2 ESA Aboveground Infrastructure,Phase 2 ESA Underground Storage Tank,Phase 2 ESA Spill,Phase 2 ESA Other APEC,Phase 2 ESA Well Centre Contaminated Volume (m3),Phase 2 ESA Drilling Waste Disposal Contaminated Volume (m3),Phase 2 ESA Flare Pit Contaminated Volume (m3),Phase 2 ESA Aboveground Infrastructure Contaminated Volume (m3),Phase 2 ESA Underground Storage Tank Contaminated Volume (m3),Phase 2 Spill Area Volume (m3),Phase 2 ESA Combined Contaminated Volume (m3),Remediation Vendor,Remediation Year,Well Centre Volume Remediated (m3),Drilling Waste Disposal Volume Remediated (m3),Flare Pit Volume Remediated (m3),Aboveground Infrastructure Volume Remediated (m3),Underground Storage Tank Volume Remediated (m3),Remediated Combined Volume (m3),Notes,Source,Cost - Phase 1 ESA,Cost - Phase 2 ESA,Cost - Phase 3 Remedial Report,Who entered the data,Source Dates,Budget (high level) or Amount,Units - Project Manager,Units - Project Coordinator ,Units - Administration ,Units - Line Locates ,Units - Hydrovac Lines ,Units - Survey,Units - Liner ,Units - Lowboy Equipment Mob/Demob,Units - Site Supervisor ,Units - Excavator ,Units - D6 Dozer ,Units - Operator Travel Time ,Units - Operator Crew Truck ,Units - Equipment Crew Subsistence ,Units - Lab Analysis ,Units - Truck and Pup,Units - Loader
118802,100/01-11-001-08W4/02,,,,Fail,,,,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,"P2 pass. Next step is rec. Contour with rubber tire hoe, topsoil addition (5 m3), seed, fence, weed control (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
72403,100/04-06-001-07W4/00,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,"P1 pass. Next step rec. Monitor/weed control, DSA, RCA, remove fence (2 visits/year)",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
84688,100/02-01-001-08W4/00,,,,Fail,,,,,,,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,"P2 pass. Next step rec.Monitor/weed control, DSA, RCA, remove fence (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$10,958.93 ",,,,,,,,,,,,,,,,,
72310,100/09-02-001-08W4/00,,,,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,"P1 pass. Next step rec. Monitor/weed control, DSA, RCA, remove fence (2 visits/year)",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
276507,100/03-11-001-08W4/02,,,,Pass,Pass,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,"P1 pass. Next step rec. Contour with rubber tire hoe, topsoil addition (5 m3), seed, fence, weed control (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$15,021.43 ",,,,,,,,,,,,,,,,,
72402,102/06-12-001-08W4/02,,,,Fail,Fail,Fail,,,,,,,,Pass,,,,,,,,,,,,,,,,,,,,,,,"Q: DWDA, WC marked for APEC w not Pass/Fail listed for PH2 and Rec as next step, does that mean PH2 passed? Notes: Next step rec. Contour with rubber tire hoe, topsoil addition (5 m3), manure application, seed, fence, weed control (2 visits/year).",2023 Surge ENV Tracker,,,,Alice,2017-2022,"$8,771.43 ",,,,,,,,,,,,,,,,,
62953,100/06-28-001-08W4/00,,,,Fail,,Fail,,,,,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,Next step REM. P1 ESA Failed (DWDA) and P2 Failed DWDA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$283,242.50 ",,,,,,,,,,,,,,,,,
328384,100/05-03-016-22W4/00,,,,Fail,Fail,Pass,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,WC fail P1. Next step P2 ESA.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$10,000.00 ",,,,,,,,,,,,,,,,,
53641,100/07-08-007-09W4/00,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWDA fail P1. Next step P2. EM Survey,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
225078,100/05-26-007-09W4/04,,,,Fail,Pass,Fail,Pass,Pass,Pass,,,,,,,,,,,,,,,,,,,,,,,,,,,,DWDA fail P1. Next step P2. EM Survey.,2023 Surge ENV Tracker,,,,Alice,2017-2022,"$14,000.00 ",,,,,,,,,,,,,,,,,
