UWI,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cement Amount,Cement Type,Cement Unit
100/16-15-017-01W5/02,NEW POOL WILDCAT,Vertical,TURNER VALLEY FM,,HIGH RIVER,,20001109,3009,0,20001216,NABORS DRILLING LIMITED,,,,Abandoned,246.97,877.8,,,,,,,,,YES,280,AB1,Calgary/Edmonton,,,,20200210,,,20001210,1120.2,,,,,,,,,,,,,,,,,0244073,6,,,,,,,58,CLASS G NEAT,Tonnes
100/16-15-017-01W5/02,NEW POOL WILDCAT,Vertical,TURNER VALLEY FM,,HIGH RIVER,,20001109,3009,0,20001216,NABORS DRILLING LIMITED,,,,Abandoned,246.97,877.8,,,,,,,,,YES,280,AB1,Calgary/Edmonton,,,,20200210,,,20001210,1120.2,,,,,,,,,,,,,,,,,0244073,6,,,,,,,55,GPSL/GPCEM/THX,Tonnes
100/16-15-017-01W5/00,NEW POOL WILDCAT,Vertical,TURNER VALLEY FM,,HIGH RIVER,,20001109,3009,0,20001216,NABORS DRILLING LIMITED,,,,Abandoned Zone,246.97,877.8,PRIMARY,,,,,,,,YES,280,AB1,Calgary/Edmonton,,,,20200210,,,20001210,1120.2,,,,,,,,,,,,,,,,,0244073,6,,,,,,,58,CLASS G NEAT,Tonnes
100/16-15-017-01W5/00,NEW POOL WILDCAT,Vertical,TURNER VALLEY FM,,HIGH RIVER,,20001109,3009,0,20001216,NABORS DRILLING LIMITED,,,,Abandoned Zone,246.97,877.8,PRIMARY,,,,,,,,YES,280,AB1,Calgary/Edmonton,,,,20200210,,,20001210,1120.2,,,,,,,,,,,,,,,,,0244073,6,,,,,,,55,GPSL/GPCEM/THX,Tonnes
105/13-30-038-16W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,HALKIRK GLAUCONITIC F,HALKIRK,,20020926,1274,1264.65,20021002,PRECISION DRILLING CORPORATION,12,,20160601,Abandoned Crude Oil,471,337.9,WATER FLOOD,Waterflood,1210.5,1198.5,,,42316.883,GLAUCONITIC F,YES,140,AB5,Calgary/Edmonton,0,235717.58,31774.236,20190309,5051.7,37476.1,20020930,805,63.42,51.96,25.74,4.93,1.73,58.96,62.89,2.58,,0,0,,32,7,5584,48,0273687,5,0,,1731.5,61147.344,,0,18,CLASS G NEAT,Tonnes
105/13-30-038-16W4/00,DEVELOPMENT,Deviated,MANNVILLE GRP,HALKIRK GLAUCONITIC F,HALKIRK,,20020926,1274,1264.65,20021002,PRECISION DRILLING CORPORATION,12,,20160601,Abandoned Crude Oil,471,337.9,WATER FLOOD,Waterflood,1210.5,1198.5,,,42316.883,GLAUCONITIC F,YES,140,AB5,Calgary/Edmonton,0,235717.58,31774.236,20190309,5051.7,37476.1,20020930,805,63.42,51.96,25.74,4.93,1.73,58.96,62.89,2.58,,0,0,,32,7,5584,48,0273687,5,0,,1731.5,61147.344,,0,30,LIGHT WEIGHT,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,10,CLASS G NEAT,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,11,LIGHT WEIGHT,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,8,CLASS G NEAT,Tonnes
100/09-28-027-12W4/00,DEVELOPMENT,Horizontal,SPARKY MBR,BERRY UPPER MANNVILLE M3M,BERRY,,20101201,2092,1042.1,20101211,TRINIDAD DRILLING LTD.,781,,20130701,Abandoned Crude Oil,448.7,318.9,PRIMARY,,2056.7,1275.8,,,5173.903,UPPER MANNVILLE M3M,YES,140,AB3,Medicine Hat,0,3370.0806,3323.5361,20140414,528.4,535.8,20101209,763.3,23.75,14.4,14.85,1.86,1.36,1.94,18.49,1.68,,0,0,,16,5,8664,36,0425932,,0,,303.9,10732.127,,0,18,CLASS G NEAT,Tonnes
100/10-01-044-13W4/00,DEEPER-POOLTEST,Vertical,DEVONIAN SYSTEM,,KILLAM NORTH,,20051201,965,0,20051206,TEMPCO DRILLING LTD,,,,Abandoned Zone,377.2,316.5,PRIMARY,,,,,,,,YES,360,AB5,Medicine Hat,,,,20211015,,,20051204,691,,,,,,,,,,,,,,,,,0342718,2,,,,,,,14,CLASS G NEAT,Tonnes
