Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
SPRING COULEE,DEVELOPMENT,Vertical,,SPRING COULEE RUNDLE,,19500913,1844,0,100/10-13-003-23W4/00,,,14,,19920901,Abandoned Crude Oil,1026.34,261.5,PRIMARY,,1844,1829.7,1831.8,RUNDLE GRP,22773.012,RUNDLE,,BWL,AB2,Calgary/Edmonton,0,962.97003,21005.451,20010109,3339.6,153.1,19501026,1284.1,0.79,2.54,0.21,0.81,4.27,0.21,2.68,4.41,,0,0,,192,7,14167,56,0001966,1,0,,290.3,10251.848,,0,3,20,20,3,,33,33,,,22,22,657,17
LEDUC-WOODBEND,DEVELOPMENT,Deviated,LEDUC FM,LEDUC-WOODBEND D-3 A,,19501013,1651.4,1651.25,100/14-34-049-26W4/00,,ENSIGN DRILLING INC.,21,,19940401,Abandoned Crude Oil,366.29,368.6,WATER FLOOD,Waterflood,1651.4,1630.7,1641,LEDUC FM,649299.06,D-3 A,,BWL,AB5,Calgary/Edmonton,0,891581.94,561630.44,19960418,89292.1,141750.2,19501112,730.9,51.75,73.96,22.63,10.95,3.63,145.51,82.88,5.52,,0,0,,,8,,,0002116,2,0,,14398.5,508478.22,,0,17731,7591,20924,21259,21799,17611,39410,14813,13333,10062,24875,140575,3193
SIBBALD,NEW FIELD WILDCAT,Vertical,,SIBBALD VIKING A,,19501030,1092.1,0,100/15-05-028-02W4/00,,,8,,19910601,Abandoned Gas,531.86,209.1,PRIMARY,,751.6,743.7,1031.7,ARCS MBR,1736252.9,VIKING A,,BWL,AB3,Medicine Hat,0,87780.6,0,19940827,0,13956,19501205,737.9,1773.53,,1.28,74.31,,16.01,305.78,12.81,,0,0,,,,,,0002197,8,0,,285158.2,10070267,,0,1798,54,1833,1886,2582,127,2709,1866,1779,57,1923,1296,35
PROVOST,NEW FIELD WILDCAT,Vertical,,,,19510101,1132.3,0,100/03-20-038-14W4/00,,,,,,Abandoned,423.56,402.4,PRIMARY,,,,1129.6,WABAMUN GRP,,,,BWL,AB5,Medicine Hat,,,,19950430,,,19510123,823.3,,,,,,,,,,,,,,,,,0002482,4,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT COLONY Q3Q,,19510601,614.2,0,1D0/02-06-047-05W4/00,,,6,,20090501,Abandoned Gas,513.5,172.6,PRIMARY,,600.5,594.4,594.4,COLONY MBR,273338.56,COLONY Q3Q,,BWL,AB4,Medicine Hat,0,15255.307,0,20151125,0,2425.4,19510612,684.3,28.43,,0.57,0.19,,0.62,4.9,0.03,,0,0,,,,,,0002939,1,0,,44892.5,1585363.6,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
CAMPBELL-NAMAO,NEW FIELD WILDCAT,Vertical,,CAMPBELL-NAMAO BLAIRMORE E,,19510618,1123.2,0,100/12-36-054-25W4/00,,,4,,19930201,Abandoned Crude Oil,212.65,476.2,PRIMARY,,1110.6,1107,1102.5,BASAL QUARTZ SD,174712.86,BLAIRMORE E,,BWL,AB5,Calgary/Edmonton,0,143570.6,68135.63,20041103,10832.7,22825.9,19510628,685.2,5.39,10.9,17.92,1.22,6.14,22.01,11.83,6.35,,0,0,,503,4,7944,46,0003025,5,0,,17504,618147.94,,0,2717,362,2875,3028,3512,617,4129,2804,2513,401,3205,5925,158
CAMPBELL-NAMAO,DEVELOPMENT,Deviated,LEDUC FM,CAMPBELL-NAMAO BLAIRMORE E,DISPOSAL,19520126,1116.5,1116.38,100/11-36-054-25W4/00,,,6,19940201,19661101,Abandoned Water Disposal,215.06,452.4,PRIMARY,II,1103.4,1097,1078.1,BASAL QUARTZ SD,181574.38,BLAIRMORE E,,BWL,AB5,Calgary/Edmonton,0,29688.535,160703.4,19941117,25549.8,4720.1,19520210,664.8,,,,440.21,2.96,24.82,0,78.86,,0,740868.56,0,503,4,7944,46,0004067,2,0,0,3427.8,121051.62,,4659923,2717,362,2875,3028,3512,617,4129,2804,2513,401,3205,5925,158
JOARCAM,DEVELOPMENT,Vertical,,JOARCAM VIKING,,19520127,1011.6,0,100/15-33-048-21W4/00,,,4,,19880601,Abandoned Crude Oil,549.59,217.3,PRIMARY,Waterflood,997.9,993.6,994.6,VIKING SANDSTONE,373671.25,VIKING,YES,BWL,AB5,Calgary/Edmonton,0,114017.29,280951.38,19911112,44667.7,18127.3,19520204,763.8,45.99,22.66,0.59,1.59,2.23,38.86,30.59,2.5,,0,0,,,2,4151,37,0004073,5,0,,15228.1,537775.25,,0,3715,832,4921,3911,5655,1618,7273,4305,4089,875,5180,44480,1206
CAMPBELL-NAMAO,DEVELOPMENT,Vertical,,CAMPBELL-NAMAO BLAIRMORE E,,19520529,1103.4,0,100/14-36-054-25W4/00,,,25,,19880501,Abandoned Crude Oil,233.52,420.6,PRIMARY,,1088.1,1063,1058.9,BASAL QUARTZ SD,735667.56,BLAIRMORE E,,BWL,AB5,Calgary/Edmonton,0,45434.45,31437.104,20000910,4998.1,7223.5,19520615,652,2783.7,1.19,15.65,4.76,0.78,1.16,481.14,1.6,,0,0,,503,4,7944,46,0004715,5,0,,115661.2,4084536.8,,0,2717,362,2875,3028,3512,617,4129,2804,2513,401,3205,5925,158
HAIRY HILL,DEVELOPMENT,Vertical,,HAIRY HILL COMMINGLED MFP9503,,19520531,588.3,0,100/11-13-055-14W4/00,,,2,,19951001,Abandoned Gas,417,188.9,PRIMARY,,467.6,466,507.2,BLAIRMORE GRP,277354.7,VIKING N,,BWL,AB5,Lloydminster,0,676.15466,0,20020921,0,107.5,19520618,605.9,1097.75,,0.15,48.67,,0.57,189.27,8.39,,0,0,,,,,,0004726,4,0,,45552.1,1608657.2,,0,5680,,5922,5977,8776,,8776,6227,5922,,6227,9085,242
BRUCE,NEW FIELD WILDCAT,Vertical,,,,19520607,1348.1,0,100/10-29-048-16W4/04,,,,,,Abandoned,364.4,339.7,PRIMARY,,,,1269.5,COOKING LAKE FM,,,YES,BWL,AB5,Calgary/Edmonton,,,,20021027,,,19520702,701,,,,,,,,,,,,,,,,,0004752,9,,,,,,,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
BRUCE,NEW FIELD WILDCAT,Vertical,,BRUCE COMMINGLED POOL 021,,19520607,1348.1,0,100/10-29-048-16W4/03,,,7,,19880501,Abandoned Zone Gas,364.4,339.7,PRIMARY,,931.5,924.4,1269.5,COOKING LAKE FM,65931.266,UPPER MANNVILLE C2C,YES,BWL,AB5,Calgary/Edmonton,0,9349.175,0,20021027,0,1486.4,19520702,701,779.16,,26.13,27.18,,10,134.34,4.69,,0,0,,,,,,0004752,9,0,,10828.4,382401.34,,0,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
BRUCE,NEW FIELD WILDCAT,Vertical,,BRUCE COMMINGLED POOL 021,,19520607,1348.1,0,100/10-29-048-16W4/02,,,10,,19880501,Abandoned Zone Gas,364.4,339.7,PRIMARY,,910.1,900.4,1269.5,COOKING LAKE FM,104476.01,UPPER MANNVILLE C2C,YES,BWL,AB5,Calgary/Edmonton,0,13984.766,0,20021027,0,2223.4,19520702,701,1064.49,,0.09,40.8,,15.03,183.53,7.03,,0,0,,,,,,0004752,9,0,,17158.9,605960.8,,0,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
BRUCE,NEW FIELD WILDCAT,Vertical,,BRUCE ELLERSLIE K,,19520607,1348.1,0,100/10-29-048-16W4/00,,,14,,19770901,Abandoned Zone Gas,364.4,339.7,PRIMARY,,957.4,943.4,1269.5,COOKING LAKE FM,65861.24,ELLERSLIE K,YES,BWL,AB5,Calgary/Edmonton,0,9503.904,0,20021027,0,1511,19520702,701,911.32,,0.09,10.1,,0.19,157.12,1.74,,0,0,,,,,,0004752,9,0,,10816.9,381995.22,,0,12698,20,13356,13385,25235,32,25267,14045,13336,21,14066,24411,658
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT WAINWRIGHT D,,19520716,700.1,0,1D0/01-05-047-05W4/00,,,2,,19911001,Abandoned Crude Oil,516.8,195.8,PRIMARY,,675.1,673.3,672.1,WAINWRIGHT SD,167044.94,WAINWRIGHT D,,BWL,AB4,Medicine Hat,0,283154.06,163925.67,19920319,26062.1,45017.9,19520722,709,0.99,24.48,6.65,0.35,1.65,39.97,24.65,1.71,,0,0,,229,2,4480,22,0005029,2,0,,512.3,18091.703,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT WAINWRIGHT D,,19520912,684.3,0,1D0/08-05-047-05W4/00,,,2,,20021101,Abandoned Crude Oil,513.9,195.4,PRIMARY,,670.6,668.7,668.4,WAINWRIGHT SD,151707.97,WAINWRIGHT D,,BWL,AB4,Medicine Hat,0,721131.8,146725.56,20041216,23327.5,114650.8,19520921,705.9,1.08,11.08,12.25,1.73,1.97,42.74,11.27,2.27,,0,0,,229,2,4480,22,0005215,4,0,,818.3,28897.992,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
WAINWRIGHT,DEVELOPMENT,Vertical,,WAINWRIGHT WAINWRIGHT D,DISPOSAL,19521007,693.4,0,1B0/08-05-047-05W4/00,,,2,19901101,19611201,Abandoned Water Disposal,513.9,200.2,PRIMARY,,676,674.2,674.2,WAINWRIGHT SD,9693.226,WAINWRIGHT D,,BWL,AB4,Medicine Hat,0,2673.7986,9426.539,19920321,1498.7,425.1,19521012,710.5,,,,49.9,304.08,86.25,0,312.68,,0,339945.38,0,229,2,4480,22,0005452,3,0,0,43.8,1546.7823,,2138192,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
PROVOST,OUTPOST,Vertical,,PROVOST COMMINGLED MFP9515,INJECTION,19521228,912.9,0,100/02-02-035-09W4/00,,,1,19961101,19690901,Abandoned Water Injection,364.8,422.8,PRIMARY,,902.2,901,888.5,VIKING SANDSTONE,78539.22,BELLY RIVER DD,,BWL,AB4,Medicine Hat,0,61.011166,65480.703,20101020,10410.6,9.7,19530102,783.6,25.95,12.24,,3.15,10.02,0.98,16.71,10.56,,0,301521.8,0,,2,,,0005886,2,0,0,2144.7,75739.37,,1896515.1,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
LEDUC-WOODBEND,DEVELOPMENT,Deviated,LEDUC FM,LEDUC-WOODBEND D-3 A,,19531209,1645,1644.86,100/06-35-049-26W4/00,,,6,,19830401,Abandoned Crude Oil,379.79,349.3,PRIMARY,,1645,1639.1,1639.8,LEDUC FM,305363.28,D-3 A,,BWL,AB5,Calgary/Edmonton,0,230565.6,279248.1,19940615,44396.9,36657,19531227,726,44.61,66.82,19.42,6.03,7.1,97.51,74.51,8.14,,0,0,,,8,,,0006102,3,0,,4289.1,151468.14,,0,17731,7591,20924,21259,21799,17611,39410,14813,13333,10062,24875,140575,3193
JOARCAM,DEVELOPMENT,Vertical,,JOARCAM VIKING,,19531031,1013.2,0,100/06-09-049-21W4/00,,,1,,19950601,Abandoned Crude Oil,551.2,218.7,PRIMARY,Waterflood,999.7,998.5,997.3,VIKING SANDSTONE,451282.47,VIKING,,BWL,AB5,Calgary/Edmonton,0,712375.8,413795.97,20080303,65788.3,113258.7,19531107,764.1,31.94,33.44,2.07,2.33,11.8,183.37,38.95,12.2,,0,0,,,2,4151,37,0007042,7,0,,6156.7,217421.81,,0,3715,832,4921,3911,5655,1618,7273,4305,4089,875,5180,44480,1206
JOARCAM,DEVELOPMENT,Vertical,,JOARCAM VIKING,,19531122,1005.8,0,100/05-09-049-21W4/00,,,4,,19930201,Abandoned Crude Oil,554.5,210.2,PRIMARY,Waterflood,997.9,994.3,994.3,VIKING SANDSTONE,301430.88,VIKING,,BWL,AB5,Calgary/Edmonton,0,292252.9,242021.86,19990905,38478.4,46464.5,19531128,761.4,23.24,25.46,0.46,4.75,1.84,77.24,29.47,2.66,,0,0,,,2,4151,37,0007360,5,0,,9757.2,344572.28,,0,3715,832,4921,3911,5655,1618,7273,4305,4089,875,5180,44480,1206
PROVOST,OUTPOST,Vertical,,PROVOST COMMINGLED MFP9515,,19531127,813.8,0,100/06-06-036-05W4/00,,,8,,20051001,Abandoned Gas,366.6,389.9,PRIMARY,,794,785.8,787.9,VIKING SANDSTONE,685737.25,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,2077.5244,403.17688,20070428,64.1,330.3,19531210,752.9,582.46,0.67,0.29,5.62,0.62,0.51,101.09,1.59,,0,0,,,2,,,0007362,10,0,,112557.7,3974937.8,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,OUTPOST,Vertical,,PROVOST COMMINGLED MFP9515,,19540113,694.9,0,100/06-01-037-05W4/00,,,3,,20230701,Pumping Gas,370.5,291.2,PRIMARY,,679.7,676.7,675.7,VIKING SANDSTONE,671746.06,BELLY RIVER DD,YES,BWL,AB4,Medicine Hat,0,874.2837,6.2898107,,1,139,19540127,658.7,540.96,0.34,0.04,13.32,0.07,0.3,93.61,2.37,,0,0,,,2,,,0007577,1,0,,110325,3896090.5,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PEMBINA,DEVELOPMENT,Vertical,,PEMBINA CARDIUM,,19540221,1600.2,0,100/12-15-048-08W5/00,,,11,,20050701,Abandoned Crude Oil,398.2,497.9,WATER FLOOD,Waterflood,1582.5,1571.5,1568.2,CARDIUM SD,951295.56,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,1674467.1,874141.56,20170108,138977.4,266219,19540304,897,52.18,79.54,2.34,3.8,1.72,98.08,88.54,2.38,,0,0,,,5,,52,0007703,5,0,,12671.6,447493.34,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
