Licence,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Substance Released 1,Volume Released 1,Volume Recovered 1
0001966,DEVELOPMENT,Vertical,,SPRING COULEE RUNDLE,SPRING COULEE,,19500913,1844,0,100/10-13-003-23W4/00,,,14,,19920901,Abandoned Crude Oil,1026.34,261.5,PRIMARY,,1844,1829.7,1831.8,RUNDLE GRP,22773.012,RUNDLE,,BWL,AB2,Calgary/Edmonton,0,962.97003,21005.451,20010109,3339.6,153.1,19501026,1284.1,0.79,2.54,0.21,0.81,4.27,0.21,2.68,4.41,,0,0,,192,7,14167,56,1,0,,290.3,10251.848,,0,Crude Oil,1,
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,MEDICINE HAT SAWTOOTH D,MEDICINE HAT,,19830224,961,0,100/11-36-008-08W4/00,,BLUE-BIRD DRILLING CO LTD,1,,19920901,Abandoned & Re-Entered Gas,479.09,345.7,PRIMARY,,946,945,948,LIVINGSTONE FM,49734.01,SAWTOOTH D,,140,AB3,Medicine Hat,0,34868.195,0,20121219,0,5543.6,19830301,821,263.46,,20.9,24.37,,8.14,45.42,4.2,,0,0,,,,,,1,0,,8168.2,288457.25,,0,Salt/Produced Water,1,
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,,MEDICINE HAT,,20081118,961,0,100/11-36-008-08W4/02,20081119,,,,,Abandoned,479.09,345.7,PRIMARY,,,,,,,,,140,AB3,Medicine Hat,,,,20121219,,,20081119,821,,,,,,,,,,,,,,,,,1,,,,,,,Salt/Produced Water,1,
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,MEDICINE HAT SAWTOOTH D,MEDICINE HAT,,19830224,961,0,100/11-36-008-08W4/00,,BLUE-BIRD DRILLING CO LTD,1,,19920901,Abandoned & Re-Entered Gas,479.09,345.7,PRIMARY,,946,945,948,LIVINGSTONE FM,49734.01,SAWTOOTH D,,140,AB3,Medicine Hat,0,34868.195,0,20121219,0,5543.6,19830301,821,263.46,,20.9,24.37,,8.14,45.42,4.2,,0,0,,,,,,1,0,,8168.2,288457.25,,0,Salt/Produced Water,1,
0100612,DEVELOPMENT,Vertical,BASAL COLORADO SD,,MEDICINE HAT,,20081118,961,0,100/11-36-008-08W4/02,20081119,,,,,Abandoned,479.09,345.7,PRIMARY,,,,,,,,,140,AB3,Medicine Hat,,,,20121219,,,20081119,821,,,,,,,,,,,,,,,,,1,,,,,,,Salt/Produced Water,1,
0158352,DEVELOPMENT,Vertical,SAWTOOTH FM,BOW ISLAND SAWTOOTH B,BOW ISLAND,,19930603,950,0,102/16-34-009-13W4/00,19930608,ARROWSTAR DRILLING CORPORATION,2,,20110201,Abandoned Crude Oil,498.4,313.3,PRIMARY,,918.5,917,,,161870.12,SAWTOOTH B,,BWL,AB3,Medicine Hat,0,2132030,158745.39,20160222,25238.5,338965.7,19930606,807.1,2.58,100.49,16.83,2.11,6.28,412.65,100.93,6.64,,0,0,,30,3,9713,34,1,0,,513.2,18123.486,,0,Crude Oil,0.1,0.1
0175390,DEVELOPMENT,Vertical,SAWTOOTH FM,ENCHANT ELLIS F,ENCHANT,,19950223,1005,0,102/15-06-012-15W4/00,19950302,COBRA DRILLING LTD,2,,20190501,Abandoned Crude Oil,551.5,238,PRIMARY,,970.7,969,989,LIVINGSTONE FM,213679.98,ELLIS F,,BWL,AB3,Medicine Hat,0,14781073,194729.39,20211127,30959.5,2350002.8,19950228,785.8,37.28,168.36,671.63,9.71,8.98,2428.63,174.79,10.65,,0,0,,135,3,10415,28,1,0,,3112.4,109913.37,,0,Crude Oil,0.1,0.1
0151455,NEW POOL WILDCAT,Vertical,MISSISSIPPIAN SYSTEM,,CARMANGAY,,19920124,1490,0,100/10-10-014-22W4/02,19920201,BLUE-BIRD DRILLING CO LTD,,,,Abandoned,723.96,259.1,PRIMARY,,,,1480,TURNER VALLEY FM,,,,BWL,AB3,Calgary/Edmonton,,,,19951130,,,19920129,978.7,,,,,,,,,,,,,,,,,3,,,,,,,Gas Production (Raw),1,
0151455,NEW POOL WILDCAT,Vertical,MISSISSIPPIAN SYSTEM,CARMANGAY SUNBURST C,CARMANGAY,,19920124,1490,0,100/10-10-014-22W4/00,19920201,BLUE-BIRD DRILLING CO LTD,2,,,Abandoned Zone Gas,723.96,259.1,PRIMARY,,1456,1454,1480,TURNER VALLEY FM,,SUNBURST C,,BWL,AB3,Calgary/Edmonton,,,,19951130,,,19920129,978.7,,,,,,,,,,,,,,,,,3,,,,,,,Gas Production (Raw),1,
0100325,DEVELOPMENT,Vertical,,LONG COULEE GLAUCONITIC Q,LONG COULEE,,19830131,1575,0,100/16-28-015-22W4/00,,HIPLAINS DRILLING,2,,19941101,Abandoned Zone Crude Oil,670,342.6,PRIMARY,,1512.8,1510.5,1557.7,LIVINGSTONE FM,24007.365,GLAUCONITIC Q,YES,BWL,AB3,Calgary/Edmonton,0,1456.7202,23296.201,20120426,3703.8,231.6,19830210,1008.6,4.83,34.51,0.79,1.09,6.37,3.85,35.34,6.56,,0,0,,,1,14057,47,2,0,,116.8,4124.753,,0,Crude Oil,1,
