Licence,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Field,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Substance Released 1,Volume Released 1,Volume Recovered 1
0000680,DEEPER-POOLTEST,Vertical,,LEDUC-WOODBEND D-2 A,LEDUC-WOODBEND,,19491003,1578.9,0,100/09-13-050-27W4/00,,,17,,19910201,Abandoned Crude Oil,332.12,382.7,PRIMARY,Waterflood,1566,1549,1540.2,NISKU FM,221050.69,D-2 A,YES,BWL,AB5,Calgary/Edmonton,0,18717.848,192662.56,20180409,30630.9,2975.9,19491025,711.7,5.18,2.48,1.31,3.65,2.58,1.77,3.37,3.21,,0,0,,,10,10441,54,5,0,,4662.4,164651.11,,0,Crude Oil,1,
0001393,DEVELOPMENT,Vertical,,LEDUC-WOODBEND VIKING B,LEDUC-WOODBEND,,19500429,1617.9,0,100/02-28-051-26W4/02,,,4,,20080801,Abandoned Gas,120.9,582.6,PRIMARY,,1061.5,1058,1568.8,LEDUC FM,87402.586,VIKING B,,BWL,AB5,Calgary/Edmonton,0,0,0,20221016,0,0,19500626,700.7,857.57,,,10.33,,,147.86,1.78,,0,0,,,,,,11,0,,14354.8,506934.97,,0,Crude Oil,1,
0001393,DEVELOPMENT,Vertical,,LEDUC-WOODBEND D-3 A,LEDUC-WOODBEND,,19500429,1617.9,0,100/02-28-051-26W4/00,,,2,,19860901,Abandoned Zone Crude Oil,120.9,582.6,WATER FLOOD,Waterflood,1617.9,1616.4,1568.8,LEDUC FM,579394.2,D-3 A,,BWL,AB5,Calgary/Edmonton,0,638390.6,508830.6,20221016,80897.6,101496,19500626,700.7,65.53,97.93,1.21,6.37,1.35,104.33,109.23,2.45,,0,0,,,8,,,11,0,,11589.2,409268.75,,0,Crude Oil,1,
0001949,DEVELOPMENT,Vertical,,LEDUC-WOODBEND BLAIRMORE B2B,LEDUC-WOODBEND,,19500904,1616.4,0,100/07-28-051-26W4/02,,,2,,20111201,Abandoned Gas,117.2,585.1,PRIMARY,,1337,1335,1585,LEDUC FM,258396.56,BLAIRMORE B2B,,BWL,AB5,Calgary/Edmonton,0,0,0,20181014,0,0,19501011,699.5,873.38,,,58.61,,,190.82,10.95,0.84,37989.2,0,,,,,,6,6039.8,,36199.2,1278362.6,40.24,0,Gas Production (Raw),0.1,
0001949,DEVELOPMENT,Vertical,,LEDUC-WOODBEND D-3 A,LEDUC-WOODBEND,,19500904,1616.4,0,100/07-28-051-26W4/00,,,0,,19900401,Abandoned Zone Crude Oil,117.2,585.1,WATER FLOOD,Waterflood,1613.3,1613.1,1585,LEDUC FM,438972.1,D-3 A,,BWL,AB5,Calgary/Edmonton,0,89847.43,256031.78,20181014,40705.8,14284.6,19501011,699.5,101.83,36.71,38.34,442.15,2.79,115.51,54.27,79.02,,0,0,,,8,,,6,0,,30045.7,1061053.9,,0,Gas Production (Raw),0.1,
0002647,DEVELOPMENT,Vertical,,LEDUC-WOODBEND D-3 A,LEDUC-WOODBEND,,19510307,1619.4,0,100/05-33-050-26W4/00,,,2,,20080601,Abandoned Crude Oil,385.4,317.5,WATER FLOOD,Waterflood,1595.5,1594,1593.2,LEDUC FM,1024078.44,D-3 A,,BWL,AB5,Calgary/Edmonton,0,8576672,544282.5,20090914,86534,1363581.9,19510405,700.1,569.5,60.48,63.24,68.3,4.94,2997.9,181.36,46.35,29.63,1807.6917,0,,,8,,,7,287.4,,78503.7,2772332,22.69,0,Crude Oil,1,0.5
0002715,DEVELOPMENT,Vertical,,LEDUC-WOODBEND D-3 A,LEDUC-WOODBEND,,19510328,1600.5,0,100/12-33-050-26W4/00,,,13,,20131001,Abandoned Crude Oil,388.9,295.1,WATER FLOOD,Waterflood,1593.1,1580,1580.7,LEDUC FM,577201.2,D-3 A,,BWL,AB5,Calgary/Edmonton,0,1574315.8,521805.84,20200317,82960.5,250296.2,19510425,681.5,31.03,62.65,194.17,8.98,5.62,275.49,68,7.17,,0,0,,,8,,,5,0,,9098,321292.84,,0,Crude Oil,0.5,0.5
0002716,DEVELOPMENT,Vertical,,LEDUC-WOODBEND D-3 A,LEDUC-WOODBEND,,19510420,1619.1,0,100/07-21-051-26W4/00,,,3,,19950101,Abandoned Gas,117.25,585.4,WATER FLOOD,Waterflood,1592.7,1589.7,1589.8,LEDUC FM,1771339.9,D-3 A,,BWL,AB5,Calgary/Edmonton,0,848022.5,500093.4,19950407,79508.5,134824.8,19510516,699.5,312.18,96.69,0.75,1758.09,3.22,686.74,166.04,324.53,18.19,27560.693,0,,,8,,,4,4381.8,,204260.1,7213377.5,15.53,0,Crude Oil,5,5
0002843,DEVELOPMENT,Vertical,,LEDUC-WOODBEND D-2 A,LEDUC-WOODBEND,,19510604,1642.9,0,100/07-02-050-26W4/02,,,18,,20030701,Abandoned Crude Oil,385.09,340.3,PRIMARY,,1577,1559,1638.6,LEDUC FM,99578.336,D-2 A,,BWL,AB5,Calgary/Edmonton,0,202144.45,86091.78,20181015,13687.5,32138.4,19510703,722.1,16.81,22.03,110.17,7.25,0.11,6.84,24.93,1.36,,0,0,,,10,10441,54,3,0,,2215,78221.984,,0,,,
0002843,DEVELOPMENT,Vertical,,LEDUC-WOODBEND D-3 A,LEDUC-WOODBEND,,19510604,1642.9,0,100/07-02-050-26W4/00,,,17,,19820101,Abandoned Zone Crude Oil,385.09,340.3,WATER FLOOD,Waterflood,1642.9,1626.1,1638.6,LEDUC FM,624538,D-3 A,,BWL,AB5,Calgary/Edmonton,0,172481.08,568239.1,20181015,90342.8,27422.3,19510703,722.1,74.57,118.74,0.41,5.57,0.7,65.02,131.6,1.66,,0,0,,,8,,,3,0,,9246.4,326533.53,,0,,,
