License,UWI
0402684,100/08-29-052-16W5/00
0156297,100/08-02-013-16W4/00
0063459,100/08-21-022-04W4/00
0364373,100/07-29-057-03W4/00
0365376,103/06-29-057-03W4/00
365377,100/08-29-057-03W4/00
B0002463,100/13-14-038-21W4/00
0084503,100/14-26-020-03W4/00
0077E044,111/07-26-050-26W3/00
0106648,100/08-32-019-19W4/00
0155036,100/02-08-038-17W4/00
0091882,100/09-06-002-11W4/02
0021038,100/08-06-086-23W6/00
0136109,100/09-15-002-12W4/02
0260826,100/12-14-020-02W4/00
0241180,102/15-28-052-02W4/00
0284127,100/08-21-062-23W5/00
78L022,111/10-08-051-27W3/00
0239985,100/08-01-007-09W4/00
0051528,100/06-30-019-02W4/00
